"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FOSB",-0.549554695493447,0.350471247971124,0.582794749980512,10.2803734561,0.4334439024256,0.667222704157268,0.823390594974549,-6.05528126019406,FALSE,FALSE,"neither"
"FOSL1",-0.660159442315342,0.0127376667567679,0.563256925020877,8.67474085,0.848582821634215,0.401599992808942,0.660239532769767,-5.79752260313751,FALSE,FALSE,"neither"
"FOSL2",-0.0453900045219733,0.826689104973274,0.722557644264916,10.541429105275,1.53417266923261,0.133541044504535,0.421825028749223,-5.02961243645401,FALSE,FALSE,"neither"
"FOXA1",-0.320831343239012,0.00196677187498902,0.0495771812839725,6.55344018,0.206635133090126,0.837431926670263,0.918826089111778,-6.12626531967381,FALSE,FALSE,"neither"
"FOXA2",-0.348229188272933,0.00270588803688542,-0.133233405979287,7.41030472685,-0.483424898790957,0.631657173009218,0.802033816509396,-6.0329362275409,FALSE,FALSE,"neither"
"FOXA3",-0.300311615663065,0.0061768988875308,0.0350732009123599,6.6374054069,0.128895699029151,0.898141463465514,0.950528020456265,-6.13904920189373,FALSE,FALSE,"neither"
"FOXB1",-0.286587632763297,0.00953149861743971,0.203384151171578,6.565270604825,0.759861352509418,0.452173013867363,0.693017334538622,-5.86626411847654,FALSE,FALSE,"neither"
"FOXB2",-0.283449434111791,0.000546382727305072,0.00526281127786212,8.158097804575,0.0272983598302582,0.978369014037541,0.990316546240007,-6.14683154141984,FALSE,FALSE,"neither"
"FOXC1",-0.311107784218196,0.000889175726290421,0.135243675471657,8.149230717775,0.647878125685512,0.521078777910003,0.736540750764706,-5.94251722723727,FALSE,FALSE,"neither"
"FOXC2",-0.401550921618348,1.51334772379385e-05,-0.0225572442395285,8.177002265575,-0.111547279157778,0.911787536129815,0.955984253239292,-6.14109466571397,FALSE,FALSE,"neither"
