gene,logFC,P.Value,adj.P.Val
SEMA6D,1.02180690364303,5.28504067027865e-07,5.34300961111951e-06
POP5,1.14888803148265,5.29963200545928e-07,5.35151651460363e-06
TAGLN,-1.38462752545412,5.30707456021906e-07,5.35535345995267e-06
BBS2,1.00538249696222,5.3780561392167e-07,5.40864519909152e-06
CALCOCO2,1.01120901888204,5.39961470748151e-07,5.42717654589557e-06
SOS2,1.08359068570779,5.43340809451638e-07,5.45245778538442e-06
CFB,1.18207003104164,5.45975626841677e-07,5.47175573274296e-06
ITGAV,1.2152958179337,5.47059469862309e-07,5.4780887031248e-06
ATOSA,1.09496961924672,5.47239816776837e-07,5.4780887031248e-06
SCARA5,-1.14369575147031,5.56905541618618e-07,5.5492002444896e-06
PRXL2C,1.28104189330147,5.59053601712916e-07,5.56420494571017e-06
KCNA2,1.22648363824673,5.59584775453042e-07,5.56629448280729e-06
ETAA1,1.36846124459676,5.62696656063636e-07,5.59308837104597e-06
GNG12,1.12291875704318,5.72239453339555e-07,5.66291561819978e-06
BIRC2,1.04277097498921,5.76736064038987e-07,5.69116316495875e-06
ITGA2,1.11653304440709,5.88600849587163e-07,5.78190222315553e-06
LYRM9,1.38686069182421,6.0410010134455e-07,5.91738075528455e-06
SLC5A11,-1.02542250764071,6.10852612565291e-07,5.97002485647567e-06
DCTN6,1.10495093093061,6.12503063685345e-07,5.98278077087918e-06
RDX,1.26339208701619,6.13059401896845e-07,5.98484130482734e-06
YEATS4,1.09202829120895,6.13830259424815e-07,5.98899253114482e-06
CD163,1.72787827260293,6.26407075373002e-07,6.09454340374137e-06
CNTNAP3B,-1.24574550035852,6.29161462352703e-07,6.11447550176536e-06
MX2,1.54720509137857,6.33143259926257e-07,6.13596555257393e-06
FCHO2,1.08145848972089,6.4470202344734e-07,6.24449226511767e-06
IL18RAP,-1.24673883832074,6.59801264420612e-07,6.3622906565834e-06
MTM1,1.03674050580031,6.73316322753411e-07,6.46383669843274e-06
EZH1,1.16345119314804,6.93062053503356e-07,6.62769275005858e-06
KGD4,1.25448414527448,7.08115197796744e-07,6.75672915606937e-06
EHF,-1.22265617440323,7.14454326954856e-07,6.80971648925948e-06
C3,1.70055461421743,7.1505773168359e-07,6.80989207407696e-06
BRD10,1.02791378578258,7.18789357853754e-07,6.82849889961066e-06
GTF2H5,1.03415780899307,7.19462329437239e-07,6.83114698328135e-06
ABCA1,1.48782431618428,7.28218348399979e-07,6.88786437831596e-06
ITFG1,1.18312167086893,7.33837655572249e-07,6.93138819595116e-06
IPO8,1.11707972051735,7.34546226307962e-07,6.93158019825821e-06
RND1,-1.82057928780185,7.37202097112885e-07,6.94252061889786e-06
CRABP2,-2.10060485061141,7.44330942507382e-07,6.98687246574643e-06
PDCD4,1.03932514375713,7.61832227268793e-07,7.11485570837607e-06
RUNX1T1,-1.25127924548111,7.80289233532669e-07,7.23352627175213e-06
FXYD1,1.45830010525675,7.85978318489226e-07,7.26369722815003e-06
ZCCHC17,1.15157376441018,7.86928704739227e-07,7.26860372906254e-06
PTGER2,-1.00727518397841,7.90351449015908e-07,7.28613520258131e-06
CRABP1,-1.78935603601002,8.08726426214824e-07,7.42639719843692e-06
DUSP6,1.24862140087587,8.24970748411366e-07,7.5475676496685e-06
RABGGTB,1.16536238219198,8.29899780971286e-07,7.58465369444644e-06
RERGL,-1.18804412560756,8.34845033449954e-07,7.62180966260317e-06
SRPX2,1.1897379044549,8.46797292531025e-07,7.69848031740692e-06
FUCA1,1.12843355464071,8.49367360015799e-07,7.71375137020638e-06
SELPLG,1.30314812662066,8.50137735617786e-07,7.71670334352278e-06
ARFGEF3,-1.06704625905243,8.79316349516742e-07,7.93996545306207e-06
SKIC3,1.19978747637625,8.85465055441974e-07,7.99132212536381e-06
ABCB4,1.04483646259059,9.13532727335912e-07,8.18495093033955e-06
CIDEC,-1.30684616273477,9.21220657964157e-07,8.23254851016138e-06
BOC,-1.02077741960138,9.26411722819306e-07,8.27040820866199e-06
CYFIP1,1.00596205778643,9.75401677242938e-07,8.6409817296859e-06
KIF13B,1.12515655257672,9.81412897473657e-07,8.68092020797526e-06
FPR2,-1.16877455339399,9.90778931544981e-07,8.74145485020949e-06
OTUD1,1.1238113960586,1.00372061513762e-06,8.82866539040845e-06
IL1R1,-1.55086706856592,1.07266906105883e-06,9.34030627639569e-06
FYB1,1.38567947454819,1.10404221108868e-06,9.57616795220009e-06
GLB1,1.11419884922513,1.1552661587652e-06,9.95187664599017e-06
