gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
BLOC1S2,1.0260581288936,8.885470076625,9.50678607701191,5.72850151816698e-12,5.672198531817e-10,17.1817467136294
USP53,2.18211892947263,11.3041893609,9.5019375579497,5.84647766169981e-12,5.75612300692808e-10,17.1619444442269
TRIM22,1.5405785003061,9.533749079825,9.49525192258888,5.96564359194917e-12,5.84026396391499e-10,17.1420411108178
IFI6,1.78078853007556,10.651090754125,9.49325866643662,6.00164599287321e-12,5.84250122272511e-10,17.1361060229428
XKR4,1.93841546401003,10.005147946875,9.4843259520326,6.16571440992005e-12,5.95867731142449e-10,17.1095018802485
SOX2,2.84800859849422,9.501103290675,9.48303697455666,6.18976175009469e-12,5.95867731142449e-10,17.1056621005448
ARHGEF6,1.88589052147649,9.98267221865,9.46515758913577,6.53329784036106e-12,6.2546400540208e-10,17.0523787159202
CXCL5,-0.883080564672319,6.956763971875,-9.44609563188917,6.88165461363384e-12,6.55194017280479e-10,17.0008279156501
EGFR,-2.06827535855359,7.4348840682,-9.44463291130035,6.95157061828031e-12,6.58233965429297e-10,16.9911617225703
COL12A1,2.23315621568389,10.454263589775,9.44158968802594,7.01585902830013e-12,6.60710898056438e-10,16.9820804280456
DPF3,-0.987184556746336,6.58898708095,-9.43561548562459,7.1093505668356e-12,6.65896360119607e-10,16.9687604622275
PIK3IP1,1.46339832467464,9.12964013505,9.43465718415134,7.16456813271943e-12,6.67460411848184e-10,16.9613887200755
OBSL1,1.21469660155821,8.6995677678,9.42855872196827,7.29802591705505e-12,6.76257717062727e-10,16.9431813593176
SMCO3,3.76086593205166,8.41348988155,9.4105346401187,7.70737763265631e-12,7.08274355196073e-10,16.8893416810808
PPFIA2,-1.11005482010486,6.00450170985,-9.40976819444384,7.72529161657766e-12,7.08274355196073e-10,16.8870513203482
CYBB,2.03874474106476,10.8115363573,9.40319043281627,7.88077794885302e-12,7.18726948935395e-10,16.8673920107085
ST3GAL4,1.4968429649761,10.052559578125,9.39825924729329,7.99941923179455e-12,7.25727415960921e-10,16.8526503172753
ARFIP1,1.3289822996677,9.629194425725,9.39355358351007,8.11432233574949e-12,7.285981309072e-10,16.8385799467764
CTNNAL1,1.89355755999461,11.4099646571,9.39351965173583,8.11515692896408e-12,7.285981309072e-10,16.8384784774528
ITGB8,2.38900353778335,11.887446791625,9.38947434448483,8.21528218662448e-12,7.31052461950285e-10,16.8263803770809
PARP3,0.931642059222051,8.646586390625,9.38666725634452,8.22687154203056e-12,7.31052461950285e-10,16.8246028566027
SCML2,-0.626813058051658,5.225893557775,-9.38015837634716,8.3658131572282e-12,7.39606175451277e-10,16.8079161142377
ENTPD2,-0.939086246303776,7.512448065,-9.37135212465574,8.63809557367852e-12,7.59801624876657e-10,16.7766058251293
NEK6,1.53552527375328,10.171380300275,9.36261187765496,8.9126851959113e-12,7.79994995327025e-10,16.7459916621676
MDM2,1.26806875730764,9.608249714375,9.3433349247702,9.43926132190393e-12,8.21297806980155e-10,16.6892940931147
DRAM1,1.33865914777487,8.485630072225,9.34227987883867,9.48020321016489e-12,8.21297806980155e-10,16.6850855242469
PPM1K,1.77290238564148,8.359779358325,9.3400419469162,9.54486640107262e-12,8.21297806980155e-10,16.6783784387802
PDE3A,-1.49437891151889,7.231530623325,-9.33903096709405,9.57422420417771e-12,8.21297806980155e-10,16.6753483240346
TGFBR1,1.27348761683038,9.7163048004,9.33234929725365,9.75962132227356e-12,8.33077429913085e-10,16.6563630180507
PARP9,1.47504140065228,8.75041099375,9.32706571117613,9.92871266140834e-12,8.40605248361182e-10,16.6394762251354
MICALL2,1.09462605842483,9.499827691025,9.32470866422972,9.94483355921297e-12,8.40605248361182e-10,16.6375697977042
LIPE,-1.01401433900848,7.406716837375,-9.31786376722485,1.01802927470904e-11,8.56330644279522e-10,16.6146232627768
RBPMS2,-0.847427020572859,7.6104879517,-9.29796473679642,1.07792575669618e-11,9.02333213141617e-10,16.5580259952759
SORCS3,1.94127341042791,8.690312369275,9.27296224488106,1.17053085835359e-11,9.75142245843797e-10,16.4770486467658
CLMN,1.45400698489746,9.131702209025,9.269244198898,1.18386295278023e-11,9.81530011759608e-10,16.4658730071404
ZRSR2,1.2751885772714,10.4566582908,9.2618049467902,1.2110022026619e-11,9.99249817510734e-10,16.443507049645
DDX60,1.63801599131226,8.362950972025,9.24269667402275,1.28363667100333e-11,1.05416380261354e-09,16.3860268048365
TMEM140,1.21646694164534,9.0906358881,9.22714663003688,1.34472134116889e-11,1.09732238465931e-09,16.3400963190502
DPYD,1.18114761279877,9.843820436625,9.22493445667988,1.34885542435615e-11,1.09732238465931e-09,16.3368598800774
DAG1,1.35907270053354,10.6029623232,9.21386875041531,1.40166259446123e-11,1.13495371200113e-09,16.299222603086
CYP2U1,1.46640136273632,8.8138424083,9.20321500441839,1.44801276965782e-11,1.16703094291305e-09,16.2671168467025
WIPI1,1.46265592002236,10.666255362625,9.19751906724792,1.47342741105402e-11,1.17889672843627e-09,16.2499460019659
