gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
METTL6,turquoise,up,0.910241584687288,0.678303803192444,0.915156789189669,1.32443457723187e-05,FALSE
SNX24,turquoise,up,0.910186836644205,0.788463145705227,1.75866759705397,3.19274197791524e-08,TRUE
HDAC6,turquoise,up,0.910166218706046,0.57132887472266,0.491850227393989,0.000574183646724461,FALSE
C4orf33,turquoise,up,0.909994219698669,0.727754030349239,0.908900144342329,1.51043414131996e-06,FALSE
AGPAT1,turquoise,up,0.909786032401417,0.778187450579493,0.965088883009257,1.47773217121904e-07,FALSE
ARHGEF12,turquoise,up,0.909612536152812,0.639500086802362,1.01486679125983,5.14855601019506e-05,TRUE
SLC38A9,turquoise,up,0.90959691317657,0.662008013534186,0.897560085089439,2.27877001270137e-05,FALSE
ATRX,turquoise,up,0.909504312849928,0.591145009258789,0.86842978905937,0.00023825235054539,FALSE
UBE3A,turquoise,up,0.909342812400368,0.48685677097921,0.56305389610409,0.00322484335592067,FALSE
ICE1,turquoise,up,0.909212539792127,0.533039159142509,0.603256250666924,0.00115297927124482,FALSE
USP40,turquoise,up,0.90905573255211,0.653468317869147,0.626424341604474,4.17342549185939e-05,FALSE
ARMC10,turquoise,up,0.909039320915146,0.653720803459087,1.07080979778952,2.8433767134744e-05,TRUE
ERAP1,turquoise,up,0.908891074034542,0.76550167707542,1.20773198487279,1.92727880981639e-07,TRUE
ZNF570,turquoise,up,0.908784800078283,0.652881840811197,0.591416567329223,4.60710381448414e-05,FALSE
RALBP1,turquoise,up,0.908710689848684,0.791332487583654,0.940841314354667,6.87307622607222e-08,FALSE
INF2,turquoise,up,0.908540975225232,0.769452368295111,1.06680975161913,1.81265560736233e-07,TRUE
DPH3,turquoise,up,0.908385896941624,0.679324635824117,0.885733069358524,1.38415892469163e-05,FALSE
LRRCC1,turquoise,up,0.908301047381701,0.696971546797169,1.23376672194141,4.91249847683031e-06,TRUE
PPP3CC,turquoise,up,0.907502578393467,0.716735553313428,0.836912288660757,3.23916819812277e-06,FALSE
CHD7,turquoise,up,0.907400941651422,0.823436797367905,1.38919866631997,3.80686132304014e-09,TRUE
RPP14,turquoise,up,0.90717903460498,0.51763571157937,0.602354874367773,0.00159896396279337,FALSE
METTL18,turquoise,up,0.906725832159125,0.778444759690689,0.901730969337703,1.09591525757326e-07,FALSE
MED14,turquoise,up,0.906680210515573,0.707637709306504,0.981262650703163,4.10661222388504e-06,FALSE
PEX3,turquoise,up,0.906556682069712,0.567050344293855,0.671702833866618,0.000468222173269417,FALSE
EFCAB7,turquoise,up,0.906090806125002,0.689728238588888,0.679366008452584,1.06375178610961e-05,FALSE
CHMP2B,turquoise,up,0.906061679051414,0.606348793807018,0.959260663328453,0.000140817974660338,FALSE
C11orf54,turquoise,up,0.905993401154522,0.588412822991538,0.711949385299153,0.000279083941315592,FALSE
WDR19,turquoise,up,0.905536903998975,0.637582383097186,0.924256473228218,5.15323457270596e-05,FALSE
ZNF197,turquoise,up,0.905030890732668,0.684649557702542,0.512269411044723,2.05930422102284e-05,FALSE
KGD4,turquoise,up,0.904996949697222,0.689796351355234,1.25448414527448,6.75672915606937e-06,TRUE
VPS45,turquoise,up,0.90471886423359,0.694204409599155,0.930811925182734,7.6143586343745e-06,FALSE
ZYG11B,turquoise,up,0.90466144304033,0.539002305564989,0.486187150955285,0.00121970838514266,FALSE
SCRN3,turquoise,up,0.904656765512575,0.595965092697465,1.02686155242097,0.000180422085347135,TRUE
TMEM63B,turquoise,up,0.904610741829027,0.828767201214342,0.979260310978415,5.41527616071826e-09,FALSE
DPY19L4,turquoise,up,0.90450234632041,0.565280964768276,0.702187191478799,0.000476224559291948,FALSE
SOS1,turquoise,up,0.904492008739514,0.610696910919291,0.970794350617584,0.000126086462035438,FALSE
DIP2B,turquoise,up,0.904094522276458,0.762966151756994,0.955148294364689,3.41690948025946e-07,FALSE
JAKMIP2,turquoise,up,0.903548106779571,0.88849797338004,2.31392950279414,3.07199008564845e-12,TRUE
ZNF25,turquoise,up,0.903495337999107,0.720660923553253,1.23507355253432,1.82005164481056e-06,TRUE
ZNF639,turquoise,up,0.903463927038584,0.557372559921859,0.616087430276797,0.000624039360261583,FALSE
FMNL3,turquoise,up,0.903350443224343,0.816885195709068,1.41354738222205,6.50900622438047e-09,TRUE
TRNT1,turquoise,up,0.903170394004323,0.576068992458433,0.783532022997688,0.000340867643786768,FALSE
ZNF383,turquoise,up,0.90291230552068,0.772141275993836,1.00487788189515,1.36652964606714e-07,TRUE
UTP20,turquoise,up,0.902436829422174,0.625009184332071,0.673991092633,9.64448622192431e-05,FALSE
STX17,turquoise,up,0.90242535305341,0.613729564434475,0.658207059427913,0.000134515730180498,FALSE
PHACTR4,turquoise,up,0.902006065861326,0.727013532131197,1.20258792976407,1.41315393206099e-06,TRUE
TMEM131,turquoise,up,0.901403852973361,0.534132359024198,0.623415828673094,0.001125911620167,FALSE
MLLT10,turquoise,up,0.901207709737244,0.769177066005012,1.03383242777949,1.56672033709093e-07,TRUE
NOC3L,turquoise,up,0.901187251900011,0.648777272194534,0.878854597113342,3.61765507618699e-05,FALSE
GBA1,turquoise,up,0.900825056478974,0.809007981541108,1.49130460265613,1.08441931887488e-08,TRUE
PIGK,turquoise,up,0.900502325113171,0.722909549736955,1.37033366892136,1.48334711348838e-06,TRUE
ZNF518A,turquoise,up,0.900386314056717,0.6063897989143,0.790086844426372,0.000147119788580091,FALSE
CEP170,turquoise,up,0.900371334100705,0.628093962151203,1.57170356043794,6.03992072554013e-05,TRUE
SLC9A6,turquoise,up,0.900254103323435,0.704363168706612,0.856855997996918,5.16050703765694e-06,FALSE
MFSD11,turquoise,up,0.900127716117484,0.87615638150286,1.16849534049036,3.46713102061669e-11,TRUE
BMPR2,turquoise,up,0.899968462240641,0.491135330124039,0.576876893053202,0.00313275184165709,FALSE
SYNJ1,turquoise,up,0.899966060674174,0.612479335911513,0.652310027781805,0.000139774290920159,FALSE
UPRT,turquoise,up,0.899939995945394,0.811970451828459,0.990780474211259,1.30876626783121e-08,FALSE
BBS12,turquoise,up,0.899830303912941,0.856955307934,1.36752625489052,1.75237712112595e-10,TRUE
ZBTB33,turquoise,up,0.899713563587119,0.591205140097026,0.703285538051659,0.000250417199781875,FALSE
TTC39C,turquoise,up,0.899586290221611,0.741232978980131,0.960165106825753,8.47878942495949e-07,FALSE
MYO18A,turquoise,up,0.898852653203597,0.727867506661668,0.701896117629916,3.07452679425461e-06,FALSE
