gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
PCID2,turquoise,up,1.31748298700694,1.12981092592593,TRUE
PDCD4,turquoise,up,1.03932514375713,-0.0572448148148101,FALSE
PDE1A,yellow,down,-1.89336858096376,-2.91252696296296,TRUE
PDE3A,yellow,down,-1.49437891151889,-2.24306087962963,TRUE
PDGFA,turquoise,up,1.14722131983809,0.767266388888888,TRUE
PDGFRA,yellow,down,-2.27180911341943,-4.47884922222222,TRUE
PDGFRL,yellow,down,-2.21298090480108,-3.8714382962963,TRUE
PDZD2,turquoise,up,2.56001570504703,1.78247889814815,TRUE
PDZD4,turquoise,up,1.21309224135313,0.299207611111112,TRUE
PHACTR4,turquoise,up,1.20258792976407,0.592059925925925,TRUE
PIGK,turquoise,up,1.37033366892136,0.308892685185185,TRUE
PLA2G2A,yellow,down,-2.75044678238088,-1.18038741666667,TRUE
PLBD2,turquoise,up,1.13906264711565,0.994387685185183,TRUE
PLEKHA1,turquoise,up,1.21616824438551,0.417429425925924,TRUE
PLOD3,turquoise,up,1.17463331628682,0.836298027777774,TRUE
PLPPR4,yellow,down,-1.33269310279645,-2.54780271296297,TRUE
PLXNA3,turquoise,up,1.18313506693061,1.19991937962963,TRUE
PLXNB2,turquoise,up,1.05119451122976,1.08129964814815,TRUE
POGLUT1,turquoise,up,1.15604652934079,0.486069342592593,TRUE
POLI,turquoise,up,1.18049919596222,0.0703157870370355,TRUE
PON2,turquoise,up,1.55364544028373,1.2095487037037,TRUE
POP5,turquoise,up,1.14888803148265,0.516553685185186,TRUE
PPM1K,turquoise,up,1.77290238564148,1.32571072222222,TRUE
PPT2,turquoise,up,1.32009465641095,0.804398870370372,TRUE
PREP,turquoise,up,1.20447847759137,1.30750802777778,TRUE
PRICKLE1,yellow,down,-1.60799277790208,-1.8620789537037,TRUE
PRKAB2,turquoise,up,1.24950328359753,0.410211148148148,TRUE
PRKD1,turquoise,up,1.06901955250347,0.118274407407409,TRUE
PRMT2,turquoise,up,1.25605649213724,0.918988685185184,TRUE
PRRX1,yellow,down,-3.02065103459599,-3.06850624074074,TRUE
PRXL2C,turquoise,up,1.28104189330147,0.616823222222223,TRUE
PTAR1,turquoise,up,1.2108452331943,1.15928682407407,TRUE
PTBP2,turquoise,up,1.03809171303855,-0.5457262962963,FALSE
PTGIS,yellow,down,-1.9471685228828,-2.34754467592593,TRUE
PYROXD1,turquoise,up,1.0624547768512,0.598813805555556,TRUE
QNG1,turquoise,up,1.02780969133308,0.257501851851854,TRUE
RAB10,turquoise,up,1.28519708996145,1.09715546296296,TRUE
RAB11FIP2,turquoise,up,1.23620662814881,0.703864759259259,TRUE
RABEP1,turquoise,up,1.17767339058597,1.16552731481482,TRUE
RABGGTB,turquoise,up,1.16536238219198,0.414022916666664,TRUE
RAP1GDS1,turquoise,up,1.35142305441404,0.110580407407411,TRUE
